店舗ID,店舗名,部門ID,部門名,日付,売上金額,客数,個数
S001,東京本店,D001,食品,2025-01-01,203752,112,347
S001,東京本店,D002,飲料,2025-01-01,142630,97,306
S001,東京本店,D003,菓子,2025-01-01,153973,87,291
S001,東京本店,D004,日用品,2025-01-01,130477,81,230
S001,東京本店,D005,衣類,2025-01-01,140218,74,323
S001,東京本店,D006,化粧品,2025-01-01,194333,96,361
S001,東京本店,D007,文具,2025-01-01,138949,66,379
S001,東京本店,D008,家電,2025-01-01,132461,86,281
S001,東京本店,D009,玩具,2025-01-01,136964,116,266
S001,東京本店,D010,雑貨,2025-01-01,128776,120,379
S002,大阪支店,D001,食品,2025-01-01,222623,62,399
S002,大阪支店,D002,飲料,2025-01-01,160942,94,287
S002,大阪支店,D003,菓子,2025-01-01,171310,98,297
S002,大阪支店,D004,日用品,2025-01-01,177870,112,376
S002,大阪支店,D005,衣類,2025-01-01,153717,106,250
S002,大阪支店,D006,化粧品,2025-01-01,110361,125,245
S002,大阪支店,D007,文具,2025-01-01,106433,98,324
S002,大阪支店,D008,家電,2025-01-01,127320,100,293
S002,大阪支店,D009,玩具,2025-01-01,130466,119,314
S002,大阪支店,D010,雑貨,2025-01-01,138134,92,268
S003,名古屋支店,D001,食品,2025-01-01,88000,73,292
S003,名古屋支店,D002,飲料,2025-01-01,182016,82,291
S003,名古屋支店,D003,菓子,2025-01-01,102929,92,317
S003,名古屋支店,D004,日用品,2025-01-01,90656,105,313
S003,名古屋支店,D005,衣類,2025-01-01,162067,127,307
S003,名古屋支店,D006,化粧品,2025-01-01,240632,105,350
S003,名古屋支店,D007,文具,2025-01-01,132849,104,302
S003,名古屋支店,D008,家電,2025-01-01,108683,85,287
S003,名古屋支店,D009,玩具,2025-01-01,182076,97,333
S003,名古屋支店,D010,雑貨,2025-01-01,210442,85,350
S004,福岡支店,D001,食品,2025-01-01,170770,98,352
S004,福岡支店,D002,飲料,2025-01-01,116600,90,312
S004,福岡支店,D003,菓子,2025-01-01,150491,137,290
S004,福岡支店,D004,日用品,2025-01-01,139774,115,348
S004,福岡支店,D005,衣類,2025-01-01,183712,119,303
S004,福岡支店,D006,化粧品,2025-01-01,97485,138,226
S004,福岡支店,D007,文具,2025-01-01,123823,80,246
S004,福岡支店,D008,家電,2025-01-01,192943,134,293
S004,福岡支店,D009,玩具,2025-01-01,202061,99,345
S004,福岡支店,D010,雑貨,2025-01-01,193853,131,374
S005,札幌支店,D001,食品,2025-01-01,179770,98,325
S005,札幌支店,D002,飲料,2025-01-01,164154,85,338
S005,札幌支店,D003,菓子,2025-01-01,183533,118,371
S005,札幌支店,D004,日用品,2025-01-01,183478,107,381
S005,札幌支店,D005,衣類,2025-01-01,128448,96,289
S005,札幌支店,D006,化粧品,2025-01-01,125400,77,271
S005,札幌支店,D007,文具,2025-01-01,180207,100,372
S005,札幌支店,D008,家電,2025-01-01,148937,123,328
S005,札幌支店,D009,玩具,2025-01-01,107488,98,209
S005,札幌支店,D010,雑貨,2025-01-01,225325,138,323
S001,東京本店,D001,食品,2025-01-02,131359,70,385
S001,東京本店,D002,飲料,2025-01-02,174419,142,329
S001,東京本店,D003,菓子,2025-01-02,247426,118,394
S001,東京本店,D004,日用品,2025-01-02,173577,82,354
S001,東京本店,D005,衣類,2025-01-02,167466,115,488
S001,東京本店,D006,化粧品,2025-01-02,184594,118,272
S001,東京本店,D007,文具,2025-01-02,151049,104,391
S001,東京本店,D008,家電,2025-01-02,63130,65,189
S001,東京本店,D009,玩具,2025-01-02,141574,78,369
S001,東京本店,D010,雑貨,2025-01-02,240674,66,337
S002,大阪支店,D001,食品,2025-01-02,213573,98,332
S002,大阪支店,D002,飲料,2025-01-02,156948,90,316
S002,大阪支店,D003,菓子,2025-01-02,120627,111,278
S002,大阪支店,D004,日用品,2025-01-02,166130,112,294
S002,大阪支店,D005,衣類,2025-01-02,198533,127,399
S002,大阪支店,D006,化粧品,2025-01-02,145046,85,323
S002,大阪支店,D007,文具,2025-01-02,147985,102,277
S002,大阪支店,D008,家電,2025-01-02,181840,102,347
S002,大阪支店,D009,玩具,2025-01-02,110340,129,294
S002,大阪支店,D010,雑貨,2025-01-02,180964,105,316
S003,名古屋支店,D001,食品,2025-01-02,136136,100,263
S003,名古屋支店,D002,飲料,2025-01-02,213335,104,309
S003,名古屋支店,D003,菓子,2025-01-02,162183,128,277
S003,名古屋支店,D004,日用品,2025-01-02,148306,126,361
S003,名古屋支店,D005,衣類,2025-01-02,139078,96,351
S003,名古屋支店,D006,化粧品,2025-01-02,90056,102,276
S003,名古屋支店,D007,文具,2025-01-02,166190,110,318
S003,名古屋支店,D008,家電,2025-01-02,91143,108,240
S003,名古屋支店,D009,玩具,2025-01-02,125829,78,264
S003,名古屋支店,D010,雑貨,2025-01-02,172868,112,349
S004,福岡支店,D001,食品,2025-01-02,181006,114,323
S004,福岡支店,D002,飲料,2025-01-02,176992,80,367
S004,福岡支店,D003,菓子,2025-01-02,223118,95,358
S004,福岡支店,D004,日用品,2025-01-02,127202,77,272
S004,福岡支店,D005,衣類,2025-01-02,172745,84,316
S004,福岡支店,D006,化粧品,2025-01-02,84474,116,322
S004,福岡支店,D007,文具,2025-01-02,166177,109,302
S004,福岡支店,D008,家電,2025-01-02,169142,126,289
S004,福岡支店,D009,玩具,2025-01-02,127714,81,295
S004,福岡支店,D010,雑貨,2025-01-02,109574,70,222
S005,札幌支店,D001,食品,2025-01-02,159883,71,304
S005,札幌支店,D002,飲料,2025-01-02,128886,93,279
S005,札幌支店,D003,菓子,2025-01-02,146928,122,285
S005,札幌支店,D004,日用品,2025-01-02,130634,96,294
S005,札幌支店,D005,衣類,2025-01-02,71990,91,276
S005,札幌支店,D006,化粧品,2025-01-02,124212,104,205
S005,札幌支店,D007,文具,2025-01-02,79714,123,211
S005,札幌支店,D008,家電,2025-01-02,179250,70,333
S005,札幌支店,D009,玩具,2025-01-02,188540,104,307
S005,札幌支店,D010,雑貨,2025-01-02,139290,91,254
S001,東京本店,D001,食品,2025-01-03,163351,71,288
S001,東京本店,D002,飲料,2025-01-03,140984,106,338
